Emp ID,Origin,Complete Name,First,Middle,Last,Type of Work,Business Email,Date of Joining,Job Role,Company,Office Location
23,India,Jessica Samantha Reeves,Jessica,Samantha,Reeves,Part Time,jessica.reeves@gilbert-hodge.com,4/25/19,Financial manager,TESTING,Focused directional migration
173,United States,Katie Cunningham,Katie,,Cunningham,CW,katie.cunningham@leonard-flores.com,8/29/20,Armed forces training and education officer,Leonard-Flores,Sharable 4thgeneration initiative
241,Japan,Justin Rojas,Justin,,Rojas,CW,justin.rojas@wright-roberts.com,6/12/22,Clinical research associate,Wright-Roberts,User-friendly solution-oriented software
461,India,Todd Christopher Bowen,Todd,Christopher,Bowen,CW,todd.bowen@leonard-flores.com,5/15/22,Lobbyist,Leonard-Flores,Polarized tangible installation
535,United States,Sonya Ramsey,Sonya,,Ramsey,CW,sonya.ramsey@smithltd.com,12/12/20,"Surveyor, commercial/residential",Smith Ltd,User-friendly solution-oriented software
569,India,Austin Jocelyn Gaines,Austin,Jocelyn,Gaines,Temporary,austin.gaines@gibson-little.com,4/1/21,Comptroller,Gibson-Little,User-centric optimizing intranet
759,United States,Stephen Wall,Stephen,,Wall,EE,stephen.wall@wright-roberts.com,9/27/20,Records manager,Wright-Roberts,Focused directional migration
801,Japan,Ashley Christina Erickson,Ashley,Christina,Erickson,CW,"ashley.erickson@murphy,douglasandsalas.com",5/24/21,Television/film/video producer,"Murphy, Douglas and Salas",User-centric optimizing intranet
860,United Kingdom,Gregory Nancy Chambers,Gregory,Nancy,Chambers,CW,"gregory.chambers@murphy,douglasandsalas.com",10/5/21,"Psychotherapist, dance movement","Murphy, Douglas and Salas",Sharable 4thgeneration initiative
920,Germany,Stephanie Melinda Neal,Stephanie,Melinda,Neal,CW,stephanie.neal@lamb-newman.com,9/17/20,Curator,Lamb-Newman,Focused directional migration
933,India,Cody John Martin,Cody,John,Martin,EE,"cody.martin@murphy,douglasandsalas.com",9/17/21,Forensic scientist,"Murphy, Douglas and Salas",Total 3rdgeneration alliance
975,Australia,Teresa Rodriguez,Teresa,,Rodriguez,CW,teresa.rodriguez@leonard-flores.com,3/29/23,"Engineer, building services",Leonard-Flores,Polarized tangible installation
1294,United States,Yolanda Torres,Yolanda,,Torres,EE,yolanda.torres@gilbert-hodge.com,5/12/20,"Journalist, newspaper",Gilbert-Hodge,Streamlined systemic matrix
1296,Australia,Bobby Edwards,Bobby,,Edwards,EE,bobby.edwards@mathisplc.com,9/18/19,Ophthalmologist,Mathis PLC,User-friendly solution-oriented software
1364,Germany,Danielle Smith,Danielle,,Smith,Seasonal,"danielle.smith@leonard,washingtonandhall.com",10/14/20,Audiological scientist,"Leonard, Washington and Hall",Vision-oriented interactive superstructure
1432,Japan,April Howard Quinn,April,Howard,Quinn,CW,april.quinn@leonard-flores.com,10/20/21,Catering manager,Leonard-Flores,Vision-oriented interactive superstructure
1469,Canada,Robert Heather Powell,Robert,Heather,Powell,CW,robert.powell@gilbert-hodge.com,5/6/21,Site engineer,Gilbert-Hodge,Face-to-face optimal forecast
1669,Germany,Ronald Amanda House,Ronald,Amanda,House,CW,ronald.house@mathisplc.com,6/14/23,Health and safety adviser,Mathis PLC,Customer-focused didactic portal
1984,Germany,Bruce Rice,Bruce,,Rice,CW,bruce.rice@deckerplc.com,10/20/20,Product/process development scientist,Decker PLC,Vision-oriented interactive superstructure
2040,Australia,Robert Tony Ellis,Robert,Tony,Ellis,CW,robert.ellis@mathisplc.com,9/17/20,"Development worker, community",Mathis PLC,Customer-focused didactic portal
2074,Canada,Tammy Troy Brown,Tammy,Troy,Brown,CW,tammy.brown@gilbert-hodge.com,10/10/20,Academic librarian,Gilbert-Hodge,Focused directional migration
2327,United Kingdom,Christopher Gerald Deleon,Christopher,Gerald,Deleon,CW,christopher.deleon@smithltd.com,2/25/21,Sport and exercise psychologist,Smith Ltd,Face-to-face optimal forecast
2436,India,Chelsea Wilson,Chelsea,,Wilson,EE,chelsea.wilson@leonard-flores.com,throw,Publishing rights manager,Leonard-Flores,Focused directional migration
2549,United Kingdom,Cindy Thomas,Cindy,,Thomas,CW,"cindy.thomas@murphy,douglasandsalas.com",9/18/18,Financial adviser,"Murphy, Douglas and Salas",Customer-focused didactic portal
2576,India,Christopher Angela Bailey,Christopher,Angela,Bailey,EE,christopher.bailey@deckerplc.com,1/6/21,Sports administrator,Decker PLC,Customer-focused didactic portal
2591,Canada,Michael Richard Rangel,Michael,Richard,Rangel,EE,"michael.rangel@murphy,douglasandsalas.com",5/7/19,Investment analyst,"Murphy, Douglas and Salas",User-centric optimizing intranet
